Year,Qtr,Month,SubAgency,PoliceDistrictID,ViolationType,ViolationCategory,VehicleGroup,PersonalInjury,PropertyDamage,Fatal,ContributedToAccident,ViolationCount
2012,1,1,"1st district, Rockville",1,Citation,Distraction,Automobile,0.0,0.0,0.0,0.0,5
2012,1,1,"1st district, Rockville",1,Citation,Distraction,Truck,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Citation,Impaired,Automobile,1.0,0.0,0.0,4.0,33
2012,1,1,"1st district, Rockville",1,Citation,Offense,Automobile,1.0,0.0,0.0,1.0,140
2012,1,1,"1st district, Rockville",1,Citation,Offense,Motorcyle,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Citation,Offense,Other,0.0,0.0,0.0,0.0,12
2012,1,1,"1st district, Rockville",1,Citation,Offense,Truck,0.0,0.0,0.0,0.0,9
2012,1,1,"1st district, Rockville",1,Citation,Other,Automobile,3.0,1.0,0.0,5.0,51
2012,1,1,"1st district, Rockville",1,Citation,Other,Other,0.0,0.0,0.0,0.0,2
2012,1,1,"1st district, Rockville",1,Citation,Other,Truck,3.0,0.0,0.0,2.0,18
2012,1,1,"1st district, Rockville",1,Citation,Safety,Automobile,0.0,1.0,0.0,1.0,24
2012,1,1,"1st district, Rockville",1,Citation,Safety,Other,0.0,1.0,0.0,1.0,3
2012,1,1,"1st district, Rockville",1,Citation,Safety,Truck,0.0,0.0,0.0,0.0,7
2012,1,1,"1st district, Rockville",1,Citation,Violation,Automobile,9.0,1.0,0.0,8.0,127
2012,1,1,"1st district, Rockville",1,Citation,Violation,Bus,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Citation,Violation,Motorcyle,0.0,0.0,0.0,0.0,2
2012,1,1,"1st district, Rockville",1,Citation,Violation,Other,0.0,0.0,0.0,0.0,13
2012,1,1,"1st district, Rockville",1,Citation,Violation,Truck,2.0,0.0,0.0,1.0,22
2012,1,1,"1st district, Rockville",1,SERO,Other,Automobile,0.0,0.0,0.0,0.0,6
2012,1,1,"1st district, Rockville",1,SERO,Other,Other,0.0,0.0,0.0,0.0,2
2012,1,1,"1st district, Rockville",1,SERO,Other,Truck,0.0,0.0,0.0,0.0,11
2012,1,1,"1st district, Rockville",1,Warning,Distraction,Automobile,0.0,0.0,0.0,0.0,3
2012,1,1,"1st district, Rockville",1,Warning,Distraction,Truck,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Impaired,Other,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Automobile,0.0,0.0,0.0,0.0,113
2012,1,1,"1st district, Rockville",1,Warning,Offense,Motorcyle,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Other,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Truck,0.0,0.0,0.0,0.0,17
2012,1,1,"1st district, Rockville",1,Warning,Other,Automobile,0.0,0.0,0.0,0.0,19
2012,1,1,"1st district, Rockville",1,Warning,Other,Other,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Other,Truck,0.0,0.0,0.0,0.0,30
2012,1,1,"1st district, Rockville",1,Warning,Safety,Automobile,0.0,0.0,0.0,0.0,44
2012,1,1,"1st district, Rockville",1,Warning,Safety,Motorcyle,0.0,0.0,0.0,0.0,1
2012,1,1,"1st district, Rockville",1,Warning,Safety,Other,0.0,0.0,0.0,0.0,4
2012,1,1,"1st district, Rockville",1,Warning,Safety,Truck,0.0,0.0,0.0,0.0,45
