Year,Qtr,Month,SubAgency,PoliceDistrictID,ViolationType,ViolationCategory,VehicleGroup,PersonalInjury,PropertyDamage,Fatal,ContributedToAccident,ViolationCount
2012,1,1,"1st district, Rockville",1,Citation,Distraction,Automobile,0,0,0,0,5
2012,1,1,"1st district, Rockville",1,Citation,Distraction,Truck,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Citation,Impaired,Automobile,1,0,0,4,33
2012,1,1,"1st district, Rockville",1,Citation,Offense,Automobile,1,0,0,1,140
2012,1,1,"1st district, Rockville",1,Citation,Offense,Motorcyle,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Citation,Offense,Other,0,0,0,0,12
2012,1,1,"1st district, Rockville",1,Citation,Offense,Truck,0,0,0,0,9
2012,1,1,"1st district, Rockville",1,Citation,Other,Automobile,3,1,0,5,51
2012,1,1,"1st district, Rockville",1,Citation,Other,Other,0,0,0,0,2
2012,1,1,"1st district, Rockville",1,Citation,Other,Truck,3,0,0,2,18
2012,1,1,"1st district, Rockville",1,Citation,Safety,Automobile,0,1,0,1,24
2012,1,1,"1st district, Rockville",1,Citation,Safety,Other,0,1,0,1,3
2012,1,1,"1st district, Rockville",1,Citation,Safety,Truck,0,0,0,0,7
2012,1,1,"1st district, Rockville",1,Citation,Violation,Automobile,9,1,0,8,127
2012,1,1,"1st district, Rockville",1,Citation,Violation,Bus,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Citation,Violation,Motorcyle,0,0,0,0,2
2012,1,1,"1st district, Rockville",1,Citation,Violation,Other,0,0,0,0,13
2012,1,1,"1st district, Rockville",1,Citation,Violation,Truck,2,0,0,1,22
2012,1,1,"1st district, Rockville",1,SERO,Other,Automobile,0,0,0,0,6
2012,1,1,"1st district, Rockville",1,SERO,Other,Other,0,0,0,0,2
2012,1,1,"1st district, Rockville",1,SERO,Other,Truck,0,0,0,0,11
2012,1,1,"1st district, Rockville",1,Warning,Distraction,Automobile,0,0,0,0,3
2012,1,1,"1st district, Rockville",1,Warning,Distraction,Truck,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Impaired,Other,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Automobile,0,0,0,0,113
2012,1,1,"1st district, Rockville",1,Warning,Offense,Motorcyle,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Other,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Offense,Truck,0,0,0,0,17
2012,1,1,"1st district, Rockville",1,Warning,Other,Automobile,0,0,0,0,19
2012,1,1,"1st district, Rockville",1,Warning,Other,Other,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Other,Truck,0,0,0,0,30
2012,1,1,"1st district, Rockville",1,Warning,Safety,Automobile,0,0,0,0,44
2012,1,1,"1st district, Rockville",1,Warning,Safety,Motorcyle,0,0,0,0,1
2012,1,1,"1st district, Rockville",1,Warning,Safety,Other,0,0,0,0,4
2012,1,1,"1st district, Rockville",1,Warning,Safety,Truck,0,0,0,0,45
2012,1,1,"1st district, Rockville",1,Warning,Violation,Automobile,0,0,0,0,174
2012,1,1,"1st district, Rockville",1,Warning,Violation,Motorcyle,0,0,0,0,2
2012,1,1,"1st district, Rockville",1,Warning,Violation,Other,0,0,0,0,6
2012,1,1,"1st district, Rockville",1,Warning,Violation,Truck,0,0,0,0,41
2012,1,1,"2nd district, Bethesda",2,Citation,Distraction,Automobile,0,0,0,0,6
2012,1,1,"2nd district, Bethesda",2,Citation,Distraction,Truck,0,0,0,0,1
2012,1,1,"2nd district, Bethesda",2,Citation,Impaired,Automobile,5,0,0,5,42
2012,1,1,"2nd district, Bethesda",2,Citation,Offense,Automobile,1,5,0,4,227
2012,1,1,"2nd district, Bethesda",2,Citation,Offense,Bus,0,0,0,0,3
2012,1,1,"2nd district, Bethesda",2,Citation,Offense,Motorcyle,0,0,0,0,1
2012,1,1,"2nd district, Bethesda",2,Citation,Offense,Other,0,0,0,0,59
2012,1,1,"2nd district, Bethesda",2,Citation,Offense,Truck,0,0,0,0,15
2012,1,1,"2nd district, Bethesda",2,Citation,Other,Automobile,9,9,0,14,199
2012,1,1,"2nd district, Bethesda",2,Citation,Other,Other,0,0,0,0,38
2012,1,1,"2nd district, Bethesda",2,Citation,Other,Truck,0,1,0,1,16
2012,1,1,"2nd district, Bethesda",2,Citation,Safety,Automobile,2,1,0,2,27
2012,1,1,"2nd district, Bethesda",2,Citation,Safety,Other,0,0,0,0,5
2012,1,1,"2nd district, Bethesda",2,Citation,Safety,Truck,0,0,0,0,1
2012,1,1,"2nd district, Bethesda",2,Citation,Violation,Automobile,12,15,1,24,260
2012,1,1,"2nd district, Bethesda",2,Citation,Violation,Bus,0,0,0,0,2
2012,1,1,"2nd district, Bethesda",2,Citation,Violation,Motorcyle,0,0,0,0,1
2012,1,1,"2nd district, Bethesda",2,Citation,Violation,Other,1,1,0,1,25
2012,1,1,"2nd district, Bethesda",2,Citation,Violation,Truck,2,1,0,3,46
2012,1,1,"2nd district, Bethesda",2,SERO,Other,Automobile,0,0,0,0,4
2012,1,1,"2nd district, Bethesda",2,Warning,Distraction,Automobile,0,0,0,0,4
2012,1,1,"2nd district, Bethesda",2,Warning,Distraction,Truck,0,0,0,0,2
2012,1,1,"2nd district, Bethesda",2,Warning,Offense,Automobile,0,0,0,0,123
2012,1,1,"2nd district, Bethesda",2,Warning,Offense,Motorcyle,0,0,0,0,4
2012,1,1,"2nd district, Bethesda",2,Warning,Offense,Other,0,0,0,0,7
2012,1,1,"2nd district, Bethesda",2,Warning,Offense,Truck,0,0,0,0,12
2012,1,1,"2nd district, Bethesda",2,Warning,Other,Automobile,0,0,0,0,24
2012,1,1,"2nd district, Bethesda",2,Warning,Other,Truck,0,0,0,0,5
2012,1,1,"2nd district, Bethesda",2,Warning,Safety,Automobile,0,0,0,0,26
2012,1,1,"2nd district, Bethesda",2,Warning,Violation,Automobile,0,0,1,0,221
2012,1,1,"2nd district, Bethesda",2,Warning,Violation,Motorcyle,0,0,0,0,4
2012,1,1,"2nd district, Bethesda",2,Warning,Violation,Other,0,0,1,0,4
2012,1,1,"2nd district, Bethesda",2,Warning,Violation,Truck,0,1,0,0,32
2012,1,1,"3rd district, Silver Spring",3,Citation,Distraction,Automobile,0,0,0,0,12
2012,1,1,"3rd district, Silver Spring",3,Citation,Impaired,Automobile,0,7,0,3,67
2012,1,1,"3rd district, Silver Spring",3,Citation,Offense,Automobile,2,7,0,3,260
2012,1,1,"3rd district, Silver Spring",3,Citation,Offense,Motorcyle,0,0,0,0,3
2012,1,1,"3rd district, Silver Spring",3,Citation,Offense,Other,0,0,0,0,6
2012,1,1,"3rd district, Silver Spring",3,Citation,Offense,Truck,0,0,0,0,6
2012,1,1,"3rd district, Silver Spring",3,Citation,Other,Automobile,1,6,0,8,100
2012,1,1,"3rd district, Silver Spring",3,Citation,Other,Motorcyle,0,0,0,0,1
2012,1,1,"3rd district, Silver Spring",3,Citation,Other,Other,0,0,0,0,2
2012,1,1,"3rd district, Silver Spring",3,Citation,Other,Truck,0,0,0,0,2
2012,1,1,"3rd district, Silver Spring",3,Citation,Safety,Automobile,0,1,0,0,37
